"response_id","customer_id","date_key","year_month","nps_score","nps_category","nps_value","reason","feature_request","plan_tier","country","acquisition_channel","submitted_at"
"f881637e-35c","51a0218e-e776-4656-ae1c-957978bd42c3",20240601,"2024-06",9,"Promoter",1,"Great value","Mobile app improvements","pro","GB","organic_search","2024-06-01 04:40:58+01"
"1d1c3911-768","51a0218e-e776-4656-ae1c-957978bd42c3",20240901,"2024-09",8,"Passive",0,"Works well enough","Better reporting","pro","GB","organic_search","2024-09-01 07:28:40+01"
"def0696e-758","51a0218e-e776-4656-ae1c-957978bd42c3",20241201,"2024-12",7,"Passive",0,"Works well enough","Mobile app improvements","pro","GB","organic_search","2024-12-01 08:00:30+01"
"6f20d2eb-18d","51a0218e-e776-4656-ae1c-957978bd42c3",20250301,"2025-03",9,"Promoter",1,"Best tool for my team","","pro","GB","organic_search","2025-03-01 17:06:00+01"
"7c366770-05b","51a0218e-e776-4656-ae1c-957978bd42c3",20250601,"2025-06",8,"Passive",0,"Good but missing a few features","Better reporting","pro","GB","organic_search","2025-06-01 22:37:00+01"
"252f4be3-dea","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e",20240301,"2024-03",9,"Promoter",1,"Saves me hours every week","Better reporting","starter","GB","organic_search","2024-03-01 01:23:08+01"
"b9f61794-e63","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e",20240601,"2024-06",8,"Passive",0,"Some bugs occasionally","API docs","starter","GB","organic_search","2024-06-01 20:48:37+01"
"840ca071-8fc","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e",20240901,"2024-09",10,"Promoter",1,"Love the kanban board","API docs","starter","GB","organic_search","2024-09-01 22:28:00+01"
"91efb982-be6","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e",20241201,"2024-12",8,"Passive",0,"Works well enough","API docs","starter","GB","organic_search","2024-12-01 09:29:06+01"
"2105df10-eda","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e",20250301,"2025-03",7,"Passive",0,"Good but missing a few features","","starter","GB","organic_search","2025-03-01 14:47:36+01"
"b92d5d10-e9c","d90fa6e4-420c-42a2-a4d6-44c8aeb5042e",20250601,"2025-06",8,"Passive",0,"Decent price","","starter","GB","organic_search","2025-06-01 01:05:03+01"
"def82b01-80e","4925651f-d88f-4d67-9bcd-8eeed2ff23a6",20250301,"2025-03",10,"Promoter",1,"Clean UI, nothing bloated","Mobile app improvements","pro","ZA","product_hunt","2025-03-01 19:41:58+01"
"8449f3b1-bf4","4925651f-d88f-4d67-9bcd-8eeed2ff23a6",20250601,"2025-06",9,"Promoter",1,"Best tool for my team","Bulk actions","pro","ZA","product_hunt","2025-06-01 19:15:05+01"
"8af82a1b-5ab","d3b1c1ac-e9e8-4efa-8964-46379c40be7b",20240901,"2024-09",10,"Promoter",1,"Clean UI, nothing bloated","Mobile app improvements","starter","GB","referral","2024-09-01 22:11:39+01"
"cf0856a0-a17","d3b1c1ac-e9e8-4efa-8964-46379c40be7b",20241201,"2024-12",8,"Passive",0,"Works well enough","","starter","GB","referral","2024-12-01 04:51:13+01"
"bd28ace6-1ea","d3b1c1ac-e9e8-4efa-8964-46379c40be7b",20250301,"2025-03",10,"Promoter",1,"Saves me hours every week","Better reporting","starter","GB","referral","2025-03-01 18:25:54+01"
"c04b11ad-f81","d3b1c1ac-e9e8-4efa-8964-46379c40be7b",20250601,"2025-06",10,"Promoter",1,"Best tool for my team","Bulk actions","starter","GB","referral","2025-06-01 16:27:31+01"
"8d79fc99-518","f2eef9ce-5015-450e-95e0-939b51469d89",20240301,"2024-03",9,"Promoter",1,"Love the kanban board","API docs","starter","ZA","product_hunt","2024-03-01 11:51:09+01"
"a113ef7f-1ce","f2eef9ce-5015-450e-95e0-939b51469d89",20240601,"2024-06",10,"Promoter",1,"Love the kanban board","Bulk actions","starter","ZA","product_hunt","2024-06-01 02:41:54+01"
"3c29a6b5-bc5","f2eef9ce-5015-450e-95e0-939b51469d89",20240901,"2024-09",7,"Passive",0,"Decent price","Mobile app improvements","starter","ZA","product_hunt","2024-09-01 05:29:15+01"
"1571e8a2-557","f2eef9ce-5015-450e-95e0-939b51469d89",20241201,"2024-12",10,"Promoter",1,"Clean UI, nothing bloated","","starter","ZA","product_hunt","2024-12-01 10:03:17+01"
"b2d68f58-aae","f2eef9ce-5015-450e-95e0-939b51469d89",20250301,"2025-03",9,"Promoter",1,"Best tool for my team","Bulk actions","starter","ZA","product_hunt","2025-03-01 02:24:58+01"
"6bb1eac7-d3b","f2eef9ce-5015-450e-95e0-939b51469d89",20250601,"2025-06",8,"Passive",0,"Decent price","More integrations","starter","ZA","product_hunt","2025-06-01 20:54:56+01"
"de1c2bfa-e8c","675de9e0-437d-4aad-adaf-20656782b5fa",20240901,"2024-09",9,"Promoter",1,"Love the kanban board","More integrations","starter","DE","organic_search","2024-09-01 18:24:41+01"
"a396aef0-210","675de9e0-437d-4aad-adaf-20656782b5fa",20241201,"2024-12",4,"Detractor",-1,"Missing integrations I need","Better reporting","starter","DE","organic_search","2024-12-01 12:52:49+01"
"e852b8c2-beb","675de9e0-437d-4aad-adaf-20656782b5fa",20250301,"2025-03",10,"Promoter",1,"Best tool for my team","Mobile app improvements","starter","DE","organic_search","2025-03-01 12:20:01+01"
"7e950da5-b9b","675de9e0-437d-4aad-adaf-20656782b5fa",20250601,"2025-06",9,"Promoter",1,"Best tool for my team","Mobile app improvements","starter","DE","organic_search","2025-06-01 04:14:42+01"
"0cb83422-b69","d7c6d246-8c74-4c20-9f60-57101e4049c4",20240901,"2024-09",8,"Passive",0,"Good but missing a few features","Mobile app improvements","starter","KE","google_ads","2024-09-01 10:53:11+01"
"cda38e41-f64","d7c6d246-8c74-4c20-9f60-57101e4049c4",20241201,"2024-12",10,"Promoter",1,"Best tool for my team","","starter","KE","google_ads","2024-12-01 22:59:11+01"
"05c77033-deb","d7c6d246-8c74-4c20-9f60-57101e4049c4",20250301,"2025-03",9,"Promoter",1,"Best tool for my team","More integrations","starter","KE","google_ads","2025-03-01 15:32:11+01"
"a2525fdf-189","d7c6d246-8c74-4c20-9f60-57101e4049c4",20250601,"2025-06",10,"Promoter",1,"Great value","More integrations","starter","KE","google_ads","2025-06-01 06:44:32+01"
"8788de9e-368","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29",20240301,"2024-03",4,"Detractor",-1,"Support was slow","Bulk actions","business","GB","organic_search","2024-03-01 21:13:06+01"
"0e0d83e5-840","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29",20240601,"2024-06",8,"Passive",0,"Good but missing a few features","Better reporting","business","GB","organic_search","2024-06-01 02:48:41+01"
"66e54eb5-d99","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29",20240901,"2024-09",8,"Passive",0,"Works well enough","More integrations","business","GB","organic_search","2024-09-01 23:56:59+01"
"263936c7-eed","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29",20241201,"2024-12",2,"Detractor",-1,"Confusing onboarding","More integrations","business","GB","organic_search","2024-12-01 09:23:56+01"
"1635045a-d21","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29",20250301,"2025-03",9,"Promoter",1,"Super easy to use","API docs","business","GB","organic_search","2025-03-01 14:26:56+01"
"971214ab-7ab","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29",20250601,"2025-06",10,"Promoter",1,"Super easy to use","Better reporting","business","GB","organic_search","2025-06-01 02:45:13+01"
"62e6abc7-6b3","0ccf9328-3727-4a4d-88b8-756a6b7ee337",20240601,"2024-06",9,"Promoter",1,"Super easy to use","","pro","KE","google_ads","2024-06-01 22:36:39+01"
"4b25f2e6-b13","0ccf9328-3727-4a4d-88b8-756a6b7ee337",20240901,"2024-09",9,"Promoter",1,"Saves me hours every week","API docs","pro","KE","google_ads","2024-09-01 03:28:18+01"
"0e42a234-815","0ccf9328-3727-4a4d-88b8-756a6b7ee337",20241201,"2024-12",10,"Promoter",1,"Great value","Mobile app improvements","pro","KE","google_ads","2024-12-01 16:01:08+01"
"3d30b6a8-9c3","0ccf9328-3727-4a4d-88b8-756a6b7ee337",20250301,"2025-03",10,"Promoter",1,"Saves me hours every week","","pro","KE","google_ads","2025-03-01 10:38:02+01"
"8dc89052-fb9","0ccf9328-3727-4a4d-88b8-756a6b7ee337",20250601,"2025-06",9,"Promoter",1,"Super easy to use","","pro","KE","google_ads","2025-06-01 15:04:29+01"
"b8ff6fbf-661","f517dcd8-dc32-4d31-ab6e-2de001976345",20241201,"2024-12",9,"Promoter",1,"Love the kanban board","Bulk actions","pro","DE","product_hunt","2024-12-01 13:26:33+01"
"ce85a511-cd5","f517dcd8-dc32-4d31-ab6e-2de001976345",20250301,"2025-03",6,"Detractor",-1,"Support was slow","","pro","DE","product_hunt","2025-03-01 12:31:44+01"
"e33808f2-4fe","f517dcd8-dc32-4d31-ab6e-2de001976345",20250601,"2025-06",9,"Promoter",1,"Saves me hours every week","Bulk actions","pro","DE","product_hunt","2025-06-01 18:46:00+01"
"d815a97f-138","f7c2ef0b-9b95-49e9-9526-ec64516d67c3",20250301,"2025-03",1,"Detractor",-1,"Keeps crashing on mobile","Better reporting","business","US","google_ads","2025-03-01 07:00:44+01"
"612ec812-17a","f7c2ef0b-9b95-49e9-9526-ec64516d67c3",20250601,"2025-06",6,"Detractor",-1,"Too expensive for what it offers","Better reporting","business","US","google_ads","2025-06-01 18:22:18+01"
"5ee5ec87-4c9","7550d8ad-6dea-419d-a035-50bd7bde9134",20240901,"2024-09",8,"Passive",0,"Some bugs occasionally","Bulk actions","business","CA","referral","2024-09-01 23:04:00+01"
"f98968ca-bb3","7550d8ad-6dea-419d-a035-50bd7bde9134",20241201,"2024-12",5,"Detractor",-1,"Too expensive for what it offers","API docs","business","CA","referral","2024-12-01 08:16:31+01"
"b842aa84-2ee","7550d8ad-6dea-419d-a035-50bd7bde9134",20250301,"2025-03",7,"Passive",0,"Decent price","More integrations","business","CA","referral","2025-03-01 12:40:32+01"
"3495f736-964","7550d8ad-6dea-419d-a035-50bd7bde9134",20250601,"2025-06",10,"Promoter",1,"Super easy to use","More integrations","business","CA","referral","2025-06-01 04:48:17+01"
"9991f119-63b","cd5dec38-72d1-4ebd-b151-ed91e18ee775",20250301,"2025-03",5,"Detractor",-1,"Support was slow","More integrations","business","DE","product_hunt","2025-03-01 02:53:26+01"
"742e2777-5c0","cd5dec38-72d1-4ebd-b151-ed91e18ee775",20250601,"2025-06",9,"Promoter",1,"Best tool for my team","More integrations","business","DE","product_hunt","2025-06-01 23:30:32+01"
"cfa9ae47-97c","6090b33b-8099-4f51-baaa-3a4e1a7e731f",20240601,"2024-06",3,"Detractor",-1,"Confusing onboarding","API docs","pro","GB","linkedin_ads","2024-06-01 19:15:53+01"
"a90bacd4-a29","6090b33b-8099-4f51-baaa-3a4e1a7e731f",20240901,"2024-09",8,"Passive",0,"Decent price","API docs","pro","GB","linkedin_ads","2024-09-01 08:44:02+01"
"5c217199-4ba","6090b33b-8099-4f51-baaa-3a4e1a7e731f",20241201,"2024-12",8,"Passive",0,"Decent price","Bulk actions","pro","GB","linkedin_ads","2024-12-01 15:56:51+01"
"1c58795e-587","6090b33b-8099-4f51-baaa-3a4e1a7e731f",20250301,"2025-03",6,"Detractor",-1,"Keeps crashing on mobile","Bulk actions","pro","GB","linkedin_ads","2025-03-01 17:42:40+01"
"23baf3e1-ad4","6090b33b-8099-4f51-baaa-3a4e1a7e731f",20250601,"2025-06",10,"Promoter",1,"Love the kanban board","API docs","pro","GB","linkedin_ads","2025-06-01 22:25:34+01"
"f0322b74-6f8","3d689740-b935-40de-b47a-3d9271032927",20241201,"2024-12",8,"Passive",0,"Works well enough","API docs","business","GB","linkedin_ads","2024-12-01 09:33:12+01"
"07929216-520","3d689740-b935-40de-b47a-3d9271032927",20250301,"2025-03",8,"Passive",0,"Good but missing a few features","More integrations","business","GB","linkedin_ads","2025-03-01 05:49:37+01"
"3d9565f2-d23","3d689740-b935-40de-b47a-3d9271032927",20250601,"2025-06",10,"Promoter",1,"Saves me hours every week","","business","GB","linkedin_ads","2025-06-01 17:26:16+01"
"567252d1-cb9","34503f46-0ad3-4582-abb9-7da1c2e2a772",20240901,"2024-09",0,"Detractor",-1,"Too expensive for what it offers","Bulk actions","pro","KE","organic_search","2024-09-01 10:09:40+01"
"de36f0bd-144","34503f46-0ad3-4582-abb9-7da1c2e2a772",20241201,"2024-12",5,"Detractor",-1,"Keeps crashing on mobile","Better reporting","pro","KE","organic_search","2024-12-01 16:26:12+01"
"0f537091-b89","34503f46-0ad3-4582-abb9-7da1c2e2a772",20250301,"2025-03",10,"Promoter",1,"Super easy to use","More integrations","pro","KE","organic_search","2025-03-01 21:19:33+01"
"536e90c1-37e","34503f46-0ad3-4582-abb9-7da1c2e2a772",20250601,"2025-06",9,"Promoter",1,"Best tool for my team","Mobile app improvements","pro","KE","organic_search","2025-06-01 12:50:50+01"
"675a236d-eb1","ba26d547-bb66-4f7d-bf99-ca3409c391ca",20241201,"2024-12",10,"Promoter",1,"Love the kanban board","More integrations","business","GH","organic_search","2024-12-01 23:18:39+01"
"13efd39a-3d1","ba26d547-bb66-4f7d-bf99-ca3409c391ca",20250301,"2025-03",9,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","business","GH","organic_search","2025-03-01 11:59:23+01"
"0adcf611-fc7","ba26d547-bb66-4f7d-bf99-ca3409c391ca",20250601,"2025-06",9,"Promoter",1,"Clean UI, nothing bloated","More integrations","business","GH","organic_search","2025-06-01 11:29:29+01"
"d9a6204e-a52","c1786355-8e91-43be-98db-17415633357a",20250601,"2025-06",7,"Passive",0,"Decent price","Mobile app improvements","starter","CA","referral","2025-06-01 09:23:12+01"
"bd80a9de-1d0","91069940-7a53-43f1-9fd7-ce6d52d525fb",20240901,"2024-09",9,"Promoter",1,"Clean UI, nothing bloated","Better reporting","business","US","referral","2024-09-01 04:33:59+01"
"55750a00-f6b","91069940-7a53-43f1-9fd7-ce6d52d525fb",20241201,"2024-12",7,"Passive",0,"Good but missing a few features","API docs","business","US","referral","2024-12-01 07:20:06+01"
"6e0cfe2a-b39","91069940-7a53-43f1-9fd7-ce6d52d525fb",20250301,"2025-03",10,"Promoter",1,"Love the kanban board","Bulk actions","business","US","referral","2025-03-01 23:37:13+01"
"0966ca48-789","91069940-7a53-43f1-9fd7-ce6d52d525fb",20250601,"2025-06",5,"Detractor",-1,"Support was slow","Bulk actions","business","US","referral","2025-06-01 09:26:48+01"
"2bbde1ab-4b2","6a1c083f-92f7-4340-b503-7d8cec8cc750",20240301,"2024-03",9,"Promoter",1,"Love the kanban board","Better reporting","pro","NG","organic_search","2024-03-01 04:54:33+01"
"7730d17c-d58","6a1c083f-92f7-4340-b503-7d8cec8cc750",20240601,"2024-06",8,"Passive",0,"Works well enough","Mobile app improvements","pro","NG","organic_search","2024-06-01 11:39:07+01"
"3dcba738-911","6a1c083f-92f7-4340-b503-7d8cec8cc750",20240901,"2024-09",8,"Passive",0,"Some bugs occasionally","More integrations","pro","NG","organic_search","2024-09-01 18:40:21+01"
"e7b0d376-f6d","6a1c083f-92f7-4340-b503-7d8cec8cc750",20241201,"2024-12",7,"Passive",0,"Some bugs occasionally","API docs","pro","NG","organic_search","2024-12-01 08:45:51+01"
"1d3607c8-9b2","6a1c083f-92f7-4340-b503-7d8cec8cc750",20250301,"2025-03",10,"Promoter",1,"Best tool for my team","Bulk actions","pro","NG","organic_search","2025-03-01 13:14:48+01"
"6c3d4c35-fb9","6a1c083f-92f7-4340-b503-7d8cec8cc750",20250601,"2025-06",9,"Promoter",1,"Love the kanban board","Better reporting","pro","NG","organic_search","2025-06-01 10:07:41+01"
"ce68aaf0-698","159ac321-0ec2-4047-a620-6899ec87b231",20250301,"2025-03",10,"Promoter",1,"Great value","Mobile app improvements","starter","US","organic_search","2025-03-01 19:16:28+01"
"83d713ce-e4c","159ac321-0ec2-4047-a620-6899ec87b231",20250601,"2025-06",7,"Passive",0,"Good but missing a few features","Mobile app improvements","starter","US","organic_search","2025-06-01 16:13:20+01"
"0b48341c-9d1","da859367-c27c-4a3a-8d3f-d20771fe9d6f",20240601,"2024-06",9,"Promoter",1,"Super easy to use","Mobile app improvements","starter","NG","linkedin_ads","2024-06-01 20:06:49+01"
"07473c7b-7af","da859367-c27c-4a3a-8d3f-d20771fe9d6f",20240901,"2024-09",10,"Promoter",1,"Super easy to use","Bulk actions","starter","NG","linkedin_ads","2024-09-01 14:08:10+01"
"52a5f2f4-863","da859367-c27c-4a3a-8d3f-d20771fe9d6f",20241201,"2024-12",8,"Passive",0,"Decent price","API docs","starter","NG","linkedin_ads","2024-12-01 03:52:25+01"
"797f3609-5e5","da859367-c27c-4a3a-8d3f-d20771fe9d6f",20250301,"2025-03",10,"Promoter",1,"Love the kanban board","Mobile app improvements","starter","NG","linkedin_ads","2025-03-01 06:42:26+01"
"1464deb2-397","da859367-c27c-4a3a-8d3f-d20771fe9d6f",20250601,"2025-06",10,"Promoter",1,"Clean UI, nothing bloated","More integrations","starter","NG","linkedin_ads","2025-06-01 04:46:08+01"
"83c9442f-0a3","275d38d5-e2ef-4f47-b3fd-5ee2508630f0",20241201,"2024-12",8,"Passive",0,"Good but missing a few features","More integrations","pro","NG","google_ads","2024-12-01 13:02:41+01"
"5eaa50b1-d08","275d38d5-e2ef-4f47-b3fd-5ee2508630f0",20250302,"2025-03",10,"Promoter",1,"Best tool for my team","API docs","pro","NG","google_ads","2025-03-02 00:04:41+01"
"873060bb-e09","275d38d5-e2ef-4f47-b3fd-5ee2508630f0",20250601,"2025-06",10,"Promoter",1,"Clean UI, nothing bloated","Bulk actions","pro","NG","google_ads","2025-06-01 23:23:49+01"
"5d22b9c2-bb4","f82ef9e7-3f07-451b-b1e1-8041d4780ea1",20240601,"2024-06",6,"Detractor",-1,"Confusing onboarding","Bulk actions","pro","US","google_ads","2024-06-01 11:21:02+01"
"107e2ac2-759","f82ef9e7-3f07-451b-b1e1-8041d4780ea1",20240901,"2024-09",10,"Promoter",1,"Clean UI, nothing bloated","Better reporting","pro","US","google_ads","2024-09-01 20:14:16+01"
"55303739-7b8","f82ef9e7-3f07-451b-b1e1-8041d4780ea1",20241201,"2024-12",8,"Passive",0,"Decent price","More integrations","pro","US","google_ads","2024-12-01 15:54:14+01"
"b5ac3e88-412","f82ef9e7-3f07-451b-b1e1-8041d4780ea1",20250301,"2025-03",9,"Promoter",1,"Best tool for my team","More integrations","pro","US","google_ads","2025-03-01 16:22:50+01"
"0244dd07-146","f82ef9e7-3f07-451b-b1e1-8041d4780ea1",20250601,"2025-06",7,"Passive",0,"Good but missing a few features","More integrations","pro","US","google_ads","2025-06-01 16:12:20+01"
"6b40303a-9fc","3167426b-653b-4fdf-a550-0dd9dc010687",20240901,"2024-09",4,"Detractor",-1,"Support was slow","Bulk actions","pro","GB","organic_search","2024-09-01 21:05:21+01"
"795729a9-da0","3167426b-653b-4fdf-a550-0dd9dc010687",20241201,"2024-12",7,"Passive",0,"Some bugs occasionally","","pro","GB","organic_search","2024-12-01 12:52:24+01"
"5f38c4da-9e6","3167426b-653b-4fdf-a550-0dd9dc010687",20250301,"2025-03",7,"Passive",0,"Good but missing a few features","Bulk actions","pro","GB","organic_search","2025-03-01 10:37:39+01"
"0264759d-b34","3167426b-653b-4fdf-a550-0dd9dc010687",20250601,"2025-06",9,"Promoter",1,"Saves me hours every week","Mobile app improvements","pro","GB","organic_search","2025-06-01 05:01:50+01"
"bb87a1d1-f2e","e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba",20240901,"2024-09",10,"Promoter",1,"Love the kanban board","API docs","starter","NG","referral","2024-09-01 01:37:54+01"
"498c8f94-0b6","e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba",20241201,"2024-12",9,"Promoter",1,"Great value","","starter","NG","referral","2024-12-01 16:34:48+01"
"dfab71f9-be6","e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba",20250301,"2025-03",5,"Detractor",-1,"Too expensive for what it offers","More integrations","starter","NG","referral","2025-03-01 02:51:58+01"
"167662a9-e1d","e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba",20250601,"2025-06",9,"Promoter",1,"Super easy to use","","starter","NG","referral","2025-06-01 07:48:54+01"
"a4b638ab-3ae","0e8241f7-fd44-4e63-9ba8-69626582981d",20240901,"2024-09",10,"Promoter",1,"Best tool for my team","Mobile app improvements","pro","GH","organic_search","2024-09-01 16:14:31+01"
"a4bf4538-80d","0e8241f7-fd44-4e63-9ba8-69626582981d",20241201,"2024-12",3,"Detractor",-1,"Too expensive for what it offers","API docs","pro","GH","organic_search","2024-12-01 05:08:38+01"
"b5a0ff08-a3a","0e8241f7-fd44-4e63-9ba8-69626582981d",20250301,"2025-03",7,"Passive",0,"Some bugs occasionally","Bulk actions","pro","GH","organic_search","2025-03-01 02:25:29+01"
"d13e03c2-ae8","0e8241f7-fd44-4e63-9ba8-69626582981d",20250601,"2025-06",10,"Promoter",1,"Love the kanban board","Mobile app improvements","pro","GH","organic_search","2025-06-01 20:22:44+01"
"486a3060-e02","37920d49-f1a8-417d-9969-a3280ee99608",20241201,"2024-12",10,"Promoter",1,"Best tool for my team","","starter","GB","product_hunt","2024-12-01 05:19:34+01"
"e0f65727-e20","37920d49-f1a8-417d-9969-a3280ee99608",20250302,"2025-03",10,"Promoter",1,"Super easy to use","Better reporting","starter","GB","product_hunt","2025-03-02 00:45:56+01"
"867061de-283","37920d49-f1a8-417d-9969-a3280ee99608",20250601,"2025-06",9,"Promoter",1,"Best tool for my team","Bulk actions","starter","GB","product_hunt","2025-06-01 01:05:53+01"
"63ce277d-e08","eb0e58b8-3c15-4c57-90e2-69d220c6172d",20240601,"2024-06",8,"Passive",0,"Some bugs occasionally","More integrations","business","NG","product_hunt","2024-06-01 01:01:28+01"
"5d5913cd-449","eb0e58b8-3c15-4c57-90e2-69d220c6172d",20240901,"2024-09",10,"Promoter",1,"Best tool for my team","Bulk actions","business","NG","product_hunt","2024-09-01 14:55:33+01"
"0b527613-238","eb0e58b8-3c15-4c57-90e2-69d220c6172d",20241202,"2024-12",1,"Detractor",-1,"Support was slow","API docs","business","NG","product_hunt","2024-12-02 00:27:49+01"
"dd285e19-d61","eb0e58b8-3c15-4c57-90e2-69d220c6172d",20250301,"2025-03",5,"Detractor",-1,"Support was slow","Bulk actions","business","NG","product_hunt","2025-03-01 03:41:16+01"
"6d737024-f30","eb0e58b8-3c15-4c57-90e2-69d220c6172d",20250601,"2025-06",10,"Promoter",1,"Best tool for my team","More integrations","business","NG","product_hunt","2025-06-01 18:39:21+01"
"92437371-d9a","59df24b5-2ef1-4873-ac81-91d4b02fcf33",20240601,"2024-06",10,"Promoter",1,"Great value","Mobile app improvements","starter","BR","referral","2024-06-01 05:03:48+01"
"f7ed94ba-9ec","59df24b5-2ef1-4873-ac81-91d4b02fcf33",20240901,"2024-09",9,"Promoter",1,"Clean UI, nothing bloated","More integrations","starter","BR","referral","2024-09-01 21:20:35+01"
"15c7e1fd-9ef","59df24b5-2ef1-4873-ac81-91d4b02fcf33",20241201,"2024-12",7,"Passive",0,"Some bugs occasionally","Bulk actions","starter","BR","referral","2024-12-01 07:13:00+01"
"1284133c-fb5","59df24b5-2ef1-4873-ac81-91d4b02fcf33",20250301,"2025-03",10,"Promoter",1,"Best tool for my team","Better reporting","starter","BR","referral","2025-03-01 12:31:39+01"
"f12f8aa8-17f","59df24b5-2ef1-4873-ac81-91d4b02fcf33",20250601,"2025-06",5,"Detractor",-1,"Keeps crashing on mobile","More integrations","starter","BR","referral","2025-06-01 04:07:11+01"
"a1be7bca-7b4","ecb4f599-6c2c-4226-ab71-3d57208331f1",20250301,"2025-03",10,"Promoter",1,"Saves me hours every week","","business","US","linkedin_ads","2025-03-01 13:10:07+01"
"79860a0b-880","ecb4f599-6c2c-4226-ab71-3d57208331f1",20250601,"2025-06",9,"Promoter",1,"Great value","More integrations","business","US","linkedin_ads","2025-06-01 11:24:13+01"
