"subscription_id","customer_id","stripe_customer_id","plan_price_id","plan_tier","date_key","year_month","plan_name","billing_interval","price_usd","mrr_contribution","status","trial_start_date","trial_end_date","current_period_start","current_period_end","churn_date","is_active","is_churned","is_in_trial","days_as_customer","acquisition_channel","acquisition_channel_type","is_paid_acquisition","country","signup_plan_tier"
"sub_qt3dgd8opocmvh","d7c6d246-8c74-4c20-9f60-57101e4049c4","cus_9j2qp89uzfk8ut","price_starter_monthly","starter",20240904,"2024-09","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-09-03 18:09:30+01","2024-09-17 05:40:13+01","2024-09-04 00:30:07+01","2025-06-30 09:29:02+01","",1,"","",641,"google_ads","Paid",1,"KE","starter"
"sub_bvn7nprb58yjwd","84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29","cus_cgvyie6ivwpvs7","price_business_monthly","business",20240126,"2024-01","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","canceled","2024-01-26 14:33:13+01","2024-02-09 22:57:16+01","2024-01-26 03:17:25+01","2024-10-22 03:19:55+01","2024-10-22 23:28:55+01","",1,"",270,"organic_search","Organic","","GB","business"
"sub_b6p8kh7rt28p6u","0ccf9328-3727-4a4d-88b8-756a6b7ee337","cus_l1cq99chj755nf","price_pro_annual","pro",20240609,"2024-06","TaskFlow Pro","year","250.0000000000000000","20.8333333333333333","active","2024-06-10 00:42:37+01","2024-06-23 20:09:20+01","2024-06-09 01:35:50+01","2025-06-30 20:12:04+01","",1,"","",728,"google_ads","Paid",1,"KE","pro"
"sub_3030a67rl2yj09","f517dcd8-dc32-4d31-ab6e-2de001976345","cus_t7d5j60fkhmy4s","price_pro_monthly","pro",20241109,"2024-11","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-11-09 02:13:47+01","2024-11-23 07:26:44+01","2024-11-09 05:40:28+01","2025-06-30 21:37:06+01","",1,"","",575,"product_hunt","Organic","","DE","pro"
"sub_fnm88ua3a6s5zx","f7c2ef0b-9b95-49e9-9526-ec64516d67c3","cus_1wj0tpac56t4uf","price_business_monthly","business",20250309,"2025-03","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2025-03-09 18:27:33+01","2025-03-23 11:07:59+01","2025-03-09 15:26:26+01","2025-06-30 12:22:53+01","",1,"","",455,"google_ads","Paid",1,"US","business"
"sub_pgvtn4ypkw7493","7550d8ad-6dea-419d-a035-50bd7bde9134","cus_hid25owf75935a","price_business_annual","business",20240705,"2024-07","TaskFlow Business","year","790.0000000000000000","65.8333333333333333","active","2024-07-05 14:06:31+01","2024-07-20 00:48:39+01","2024-07-05 04:05:41+01","2025-06-30 01:39:59+01","",1,"","",702,"referral","Organic","","CA","business"
"sub_dpubkpiqnhqe86","cd5dec38-72d1-4ebd-b151-ed91e18ee775","cus_j2d54i3qk2iagl","price_business_monthly","business",20250204,"2025-02","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2025-02-05 00:25:00+01","2025-02-18 12:50:14+01","2025-02-04 14:58:52+01","2025-06-30 21:45:50+01","",1,"","",488,"product_hunt","Organic","","DE","business"
"sub_jxl66ya6ba24s0","6090b33b-8099-4f51-baaa-3a4e1a7e731f","cus_la5ju9bvm2p9e6","price_pro_monthly","pro",20240522,"2024-05","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-05-22 18:25:12+01","2024-06-05 20:41:25+01","2024-05-22 11:21:10+01","2025-06-30 19:27:15+01","",1,"","",746,"linkedin_ads","Paid",1,"GB","pro"
"sub_2uew9g6spd2sw2","3d689740-b935-40de-b47a-3d9271032927","cus_70hp87wxe6sylz","price_business_monthly","business",20241228,"2024-12","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-12-28 07:05:05+01","2025-01-11 01:27:00+01","2024-12-28 21:58:16+01","2025-06-30 18:10:20+01","",1,"","",525,"linkedin_ads","Paid",1,"GB","business"
"sub_vbz7cn0eqwmi6k","34503f46-0ad3-4582-abb9-7da1c2e2a772","cus_ktakpuxqphr62g","price_pro_monthly","pro",20240803,"2024-08","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","canceled","2024-08-03 22:03:17+01","2024-08-17 03:59:09+01","2024-08-03 18:53:15+01","2025-05-31 00:49:51+01","2025-05-30 13:49:16+01","",1,"",299,"organic_search","Organic","","KE","pro"
"sub_wudqvdk6drn4or","ba26d547-bb66-4f7d-bf99-ca3409c391ca","cus_yihair4cowgzri","price_business_monthly","business",20241205,"2024-12","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-12-05 07:43:26+01","2024-12-19 13:56:20+01","2024-12-05 01:26:04+01","2025-06-30 16:40:04+01","",1,"","",549,"organic_search","Organic","","GH","business"
"sub_qfk6xw4emm9vas","c1786355-8e91-43be-98db-17415633357a","cus_g8sbi4q2y9v86w","price_starter_monthly","starter",20250402,"2025-04","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2025-04-02 18:01:33+01","2025-04-16 17:48:09+01","2025-04-02 09:59:07+01","2025-06-30 07:38:01+01","",1,"","",431,"referral","Organic","","CA","starter"
"sub_n6bedyejhdzxq3","91069940-7a53-43f1-9fd7-ce6d52d525fb","cus_rjiw1swjckjlte","price_business_annual","business",20240806,"2024-08","TaskFlow Business","year","790.0000000000000000","65.8333333333333333","active","2024-08-06 07:43:54+01","2024-08-20 23:17:25+01","2024-08-06 14:32:25+01","2025-06-30 07:16:11+01","",1,"","",670,"referral","Organic","","US","business"
"sub_2vfhzpqvjldnhm","6a1c083f-92f7-4340-b503-7d8cec8cc750","cus_ohp6vz41nam148","price_pro_annual","pro",20240319,"2024-03","TaskFlow Pro","year","250.0000000000000000","20.8333333333333333","active","2024-03-19 02:32:16+01","2024-04-02 19:26:18+01","2024-03-19 21:52:04+01","2025-06-30 15:10:56+01","",1,"","",809,"organic_search","Organic","","NG","pro"
"sub_58toe3pgihnfla","159ac321-0ec2-4047-a620-6899ec87b231","cus_rny20479t6vxdp","price_starter_monthly","starter",20250111,"2025-01","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2025-01-11 19:50:20+01","2025-01-25 08:35:04+01","2025-01-11 23:00:45+01","2025-06-30 11:13:29+01","",1,"","",511,"organic_search","Organic","","US","starter"
"sub_vsdkv54c6p1llh","da859367-c27c-4a3a-8d3f-d20771fe9d6f","cus_n13jcat9mx2x18","price_starter_monthly","starter",20240513,"2024-05","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-05-13 04:28:10+01","2024-05-27 20:20:37+01","2024-05-13 16:31:02+01","2025-06-30 09:26:07+01","",1,"","",755,"linkedin_ads","Paid",1,"NG","starter"
"sub_ukx496k4o67bxc","275d38d5-e2ef-4f47-b3fd-5ee2508630f0","cus_hz1gv0e38daly8","price_pro_monthly","pro",20241114,"2024-11","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-11-14 09:20:48+01","2024-11-28 12:25:05+01","2024-11-14 04:53:51+01","2025-06-30 14:46:19+01","",1,"","",570,"google_ads","Paid",1,"NG","pro"
"sub_lwozq48enwbbad","f82ef9e7-3f07-451b-b1e1-8041d4780ea1","cus_4ve92mpnsm43d8","price_pro_monthly","pro",20240411,"2024-04","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","canceled","2024-04-12 00:57:51+01","2024-04-25 12:52:57+01","2024-04-11 11:55:44+01","2024-09-09 00:27:14+01","2024-09-08 06:05:12+01","",1,"",149,"google_ads","Paid",1,"US","pro"
"sub_ayb5bbkjy2nz7v","3167426b-653b-4fdf-a550-0dd9dc010687","cus_j3trp0j43d5iqv","price_pro_monthly","pro",20240823,"2024-08","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-08-23 14:40:28+01","2024-09-06 22:07:33+01","2024-08-23 04:08:20+01","2025-06-30 05:48:37+01","",1,"","",653,"organic_search","Organic","","GB","pro"
"sub_ux9l0ijkcu5x0h","e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba","cus_m5zja8dzr1yxr2","price_starter_monthly","starter",20240910,"2024-09","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-09-10 22:13:29+01","2024-09-24 13:12:31+01","2024-09-10 03:04:31+01","2025-06-30 02:13:00+01","",1,"","",635,"referral","Organic","","NG","starter"
"sub_hvs41lqfs6hn95","0e8241f7-fd44-4e63-9ba8-69626582981d","cus_tp0lzjjeget1gh","price_pro_annual","pro",20240726,"2024-07","TaskFlow Pro","year","250.0000000000000000","20.8333333333333333","active","2024-07-26 09:27:10+01","2024-08-09 22:19:55+01","2024-07-26 17:12:49+01","2025-06-30 13:12:04+01","",1,"","",681,"organic_search","Organic","","GH","pro"
"sub_dqddaqjrtmetmh","37920d49-f1a8-417d-9969-a3280ee99608","cus_kmkzebbk7w1dak","price_starter_monthly","starter",20241028,"2024-10","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","canceled","2024-10-28 04:03:41+01","2024-11-11 13:46:59+01","2024-10-28 13:32:27+01","2025-02-25 17:21:03+01","2025-02-25 15:17:23+01","",1,"",120,"product_hunt","Organic","","GB","starter"
"sub_kovtrpyx8hbbjc","eb0e58b8-3c15-4c57-90e2-69d220c6172d","cus_ocwbfuk9e1v2is","price_business_monthly","business",20240404,"2024-04","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","canceled","2024-04-04 04:14:46+01","2024-04-18 23:17:31+01","2024-04-04 04:17:14+01","2024-06-03 20:44:45+01","2024-06-03 13:25:25+01","",1,"",60,"product_hunt","Organic","","NG","business"
"sub_2mkv0dszrk6ilc","59df24b5-2ef1-4873-ac81-91d4b02fcf33","cus_v08hhxfgcaqvki","price_starter_annual","starter",20240601,"2024-06","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","active","2024-06-01 22:30:27+01","2024-06-15 11:01:11+01","2024-06-01 06:21:57+01","2025-06-30 15:09:00+01","",1,"","",736,"referral","Organic","","BR","starter"
"sub_5g1amra5rbayki","ecb4f599-6c2c-4226-ab71-3d57208331f1","cus_wx7ptx63cfl0uk","price_business_monthly","business",20250316,"2025-03","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2025-03-16 04:19:51+01","2025-03-31 00:21:28+01","2025-03-16 17:10:48+01","2025-06-30 05:49:06+01","",1,"","",448,"linkedin_ads","Paid",1,"US","business"
"sub_mtxjq3kmsx54rj","2b1d5a70-51a7-4c83-8dea-4b513031a91e","cus_cbpljd84u89yjb","price_pro_monthly","pro",20240604,"2024-06","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-06-04 08:42:09+01","2024-06-18 12:31:01+01","2024-06-04 17:46:40+01","2025-06-30 01:09:26+01","",1,"","",733,"organic_search","Organic","","IN","pro"
"sub_09m0g8w85y6q8s","a76226a6-f8f2-4c53-9d95-29ae08804603","cus_38qoldforxo1bd","price_business_monthly","business",20241129,"2024-11","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-11-29 13:37:26+01","2024-12-13 09:19:12+01","2024-11-29 09:58:43+01","2025-06-30 12:56:21+01","",1,"","",555,"linkedin_ads","Paid",1,"NG","business"
"sub_smwpq82k8ryqf8","3fb4b418-a6b8-4405-a4f0-8162daa0fbd5","cus_togn1w1ht7pze9","price_business_annual","business",20250130,"2025-01","TaskFlow Business","year","790.0000000000000000","65.8333333333333333","active","2025-01-30 10:04:51+01","2025-02-13 10:00:29+01","2025-01-30 20:35:42+01","2025-06-30 06:19:31+01","",1,"","",493,"linkedin_ads","Paid",1,"GB","business"
"sub_kvblpxajmk4x1f","3e2188ad-0a1f-4b29-8200-750a158a226e","cus_qe3rzsj49itn7s","price_pro_annual","pro",20241229,"2024-12","TaskFlow Pro","year","250.0000000000000000","20.8333333333333333","canceled","2024-12-29 03:18:14+01","2025-01-12 02:30:59+01","2024-12-29 03:45:17+01","2025-02-27 05:46:12+01","2025-02-27 14:37:58+01","",1,"",60,"google_ads","Paid",1,"US","pro"
"sub_3wp8djkluyluyh","9d1dfc62-9f83-444c-8fff-a3dfbc4b9589","cus_ja04ux5qrl1n75","price_starter_monthly","starter",20240521,"2024-05","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-05-21 03:19:36+01","2024-06-04 21:29:34+01","2024-05-21 05:26:35+01","2025-06-30 07:19:19+01","",1,"","",747,"referral","Organic","","ZA","starter"
"sub_24dsysymmq8q6a","4f60b48f-01b0-4fcb-aa32-9f002b2a8706","cus_z3nx39rbsv55ps","price_starter_annual","starter",20240715,"2024-07","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","active","2024-07-15 10:50:15+01","2024-07-29 19:32:23+01","2024-07-15 14:05:48+01","2025-06-30 05:39:58+01","",1,"","",692,"google_ads","Paid",1,"CA","starter"
"sub_tuk1ooa35qbb3x","26781901-6364-4a0f-b687-f5e8f2d9aee6","cus_8myx444nlz15bc","price_starter_annual","starter",20240314,"2024-03","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","active","2024-03-14 23:21:55+01","2024-03-28 02:07:47+01","2024-03-14 11:38:06+01","2025-06-30 10:36:30+01","",1,"","",815,"linkedin_ads","Paid",1,"US","starter"
"sub_szzsu8e6xfwz73","d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a","cus_py6b2knftu2gc5","price_pro_monthly","pro",20240527,"2024-05","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","canceled","2024-05-27 04:33:06+01","2024-06-10 08:13:06+01","2024-05-27 20:44:12+01","2024-07-26 04:04:00+01","2024-07-26 05:38:56+01","",1,"",59,"product_hunt","Organic","","CA","pro"
"sub_3pceo934t3y4wp","18578563-0955-478c-bce4-1a726d6fa0f6","cus_y6qktc89k8yqk9","price_pro_monthly","pro",20240911,"2024-09","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","canceled","2024-09-11 17:47:44+01","2024-09-25 18:12:30+01","2024-09-11 21:01:11+01","2025-02-08 05:52:47+01","2025-02-08 22:15:10+01","",1,"",150,"product_hunt","Organic","","NG","pro"
"sub_kdvnjn2q3fkeou","a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3","cus_9xjuy0bvr6k2vm","price_business_monthly","business",20240714,"2024-07","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-07-14 02:58:58+01","2024-07-28 12:08:29+01","2024-07-14 02:41:41+01","2025-06-30 22:39:28+01","",1,"","",693,"organic_search","Organic","","US","business"
"sub_qafs4h6ssgfxuq","ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae","cus_w6xlpu0dk0get8","price_pro_monthly","pro",20240508,"2024-05","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-05-08 13:04:58+01","2024-05-22 21:30:24+01","2024-05-08 05:17:50+01","2025-06-30 22:19:59+01","",1,"","",760,"organic_search","Organic","","US","pro"
"sub_vgzsxjzvuv3cb0","e0ab5aa6-b62f-40b8-a999-2809f58cc285","cus_30me8f840982n2","price_business_monthly","business",20240519,"2024-05","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-05-19 22:30:20+01","2024-06-02 08:49:51+01","2024-05-19 08:06:42+01","2025-06-30 04:31:59+01","",1,"","",749,"referral","Organic","","NG","business"
"sub_2d50n97cjb0pnw","30cf2bd1-54f1-4783-a497-55054e73fe1c","cus_37dia5u6hc36ko","price_pro_monthly","pro",20240304,"2024-03","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-03-04 15:24:08+01","2024-03-18 21:36:35+01","2024-03-04 01:59:11+01","2025-06-30 11:06:44+01","",1,"","",825,"linkedin_ads","Paid",1,"US","pro"
"sub_jpkhf33guwyh36","4b01b2d4-76d4-4aa4-9dec-b278fe32a515","cus_eqy08p0fodro8b","price_starter_annual","starter",20240120,"2024-01","TaskFlow Starter","year","90.0000000000000000","7.5000000000000000","active","2024-01-20 03:21:11+01","2024-02-03 22:46:58+01","2024-01-20 12:49:26+01","2025-06-30 19:34:55+01","",1,"","",869,"google_ads","Paid",1,"GB","starter"
"sub_tgh3sm642pw5ue","e7d463d6-4c20-4b3f-92ac-a8564f7f9997","cus_t9moge4qxxva2i","price_starter_monthly","starter",20240815,"2024-08","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-08-15 02:38:34+01","2024-08-29 11:01:14+01","2024-08-15 17:19:06+01","2025-06-30 04:31:14+01","",1,"","",661,"product_hunt","Organic","","ZA","starter"
"sub_k3om5fktiswlwt","6034b4d4-1ca5-4474-aa2d-abc29508e107","cus_lf6a4fejgxaa2i","price_starter_monthly","starter",20240415,"2024-04","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","canceled","2024-04-15 09:12:21+01","2024-04-29 02:08:13+01","2024-04-15 04:37:30+01","2024-08-13 09:41:01+01","2024-08-13 02:21:26+01","",1,"",119,"google_ads","Paid",1,"CA","starter"
"sub_07x5ic86z1b98v","c1690484-e760-4987-9113-26b2a3beb41a","cus_r2sds8b25sq8cr","price_pro_monthly","pro",20240515,"2024-05","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-05-15 09:46:02+01","2024-05-29 04:02:31+01","2024-05-15 20:59:05+01","2025-06-30 18:30:08+01","",1,"","",753,"google_ads","Paid",1,"CA","pro"
"sub_xpk48ab13t4y0t","a77c14b3-e387-4a54-9b56-8bb39f8c5adc","cus_fewvznvksp2ex5","price_starter_monthly","starter",20240225,"2024-02","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","canceled","2024-02-25 18:08:07+01","2024-03-10 15:07:57+01","2024-02-25 02:24:49+01","2024-12-21 13:44:08+01","2024-12-21 14:44:27+01","",1,"",300,"linkedin_ads","Paid",1,"ZA","starter"
"sub_6mm7idao13tb25","007e807a-b3ee-4248-883b-a886ebfa96ff","cus_o0llj8yrddp0ne","price_pro_monthly","pro",20240420,"2024-04","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-04-20 15:11:18+01","2024-05-04 02:20:22+01","2024-04-20 08:52:03+01","2025-06-30 03:03:08+01","",1,"","",778,"linkedin_ads","Paid",1,"ZA","pro"
"sub_69eoxxc7hz364p","e0854a27-2cbd-453f-bc49-493d550003d8","cus_7p6bkldsfr4mue","price_pro_monthly","pro",20241014,"2024-10","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-10-14 21:15:33+01","2024-10-28 09:20:44+01","2024-10-14 10:23:49+01","2025-06-30 18:18:55+01","",1,"","",601,"organic_search","Organic","","US","pro"
"sub_dmo8rc64skte02","7f7f2bc1-ff30-4bea-abf9-54adf4173249","cus_yuvxybj17mgfxc","price_pro_monthly","pro",20250217,"2025-02","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2025-02-17 15:07:01+01","2025-03-03 16:53:02+01","2025-02-17 02:15:44+01","2025-06-30 15:41:48+01","",1,"","",475,"linkedin_ads","Paid",1,"US","pro"
"sub_vk8c4nanpinxtx","7a840a0b-6c75-400b-82a3-c539fb517d9b","cus_fll7v5f1bcppvo","price_starter_monthly","starter",20240116,"2024-01","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-01-16 20:48:57+01","2024-01-30 11:59:53+01","2024-01-16 02:34:48+01","2025-06-30 12:59:01+01","",1,"","",873,"google_ads","Paid",1,"GB","starter"
"sub_3v1m3pp00cdnzy","8fa60340-4f6a-4b5d-b380-f59019a97945","cus_slh9bh811kerpe","price_pro_monthly","pro",20240228,"2024-02","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","active","2024-02-28 17:16:10+01","2024-03-13 13:29:47+01","2024-02-28 18:29:27+01","2025-06-30 19:46:36+01","",1,"","",830,"google_ads","Paid",1,"NG","pro"
"sub_i6kyj91kubjjjx","3c2a6b98-3637-4952-ac7c-6cf4b01d7ec6","cus_0pqclpoxko8g8q","price_starter_monthly","starter",20240913,"2024-09","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-09-13 11:53:16+01","2024-09-27 06:28:29+01","2024-09-13 20:00:07+01","2025-06-30 10:36:42+01","",1,"","",632,"organic_search","Organic","","US","starter"
"sub_abmwuouc6t8pj2","062dfc6d-5043-4d98-93e9-9e2be6b3fb61","cus_c50h2cwtg1m8xf","price_pro_annual","pro",20240215,"2024-02","TaskFlow Pro","year","250.0000000000000000","20.8333333333333333","active","2024-02-15 06:09:55+01","2024-02-29 20:41:03+01","2024-02-15 09:55:31+01","2025-06-30 05:14:40+01","",1,"","",843,"linkedin_ads","Paid",1,"NG","pro"
"sub_xgsplti899a44t","596a7fa8-ab55-45a9-a5f7-0ebad3def23e","cus_quuy5x9l8lpqw2","price_pro_monthly","pro",20240411,"2024-04","TaskFlow Pro","month","25.0000000000000000","25.0000000000000000","canceled","2024-04-11 17:04:15+01","2024-04-25 07:20:36+01","2024-04-11 02:38:15+01","2024-12-07 12:06:04+01","2024-12-07 17:28:07+01","",1,"",240,"google_ads","Paid",1,"NG","pro"
"sub_3ox5fl2moxq9wf","cc82fffe-7092-447d-ba2a-71ce3c2c1c40","cus_kx9dvnu80b6ugv","price_starter_monthly","starter",20240916,"2024-09","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-09-16 01:06:38+01","2024-09-30 07:51:20+01","2024-09-16 02:18:59+01","2025-06-30 05:58:37+01","",1,"","",629,"google_ads","Paid",1,"GB","starter"
"sub_2sumh3b0n9cc7i","45eb943f-5f00-4c0e-a879-983f20abcb94","cus_dxbz9svn7n1ybw","price_business_monthly","business",20240201,"2024-02","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-02-01 18:46:07+01","2024-02-15 17:51:03+01","2024-02-01 17:36:40+01","2025-06-30 18:46:26+01","",1,"","",857,"linkedin_ads","Paid",1,"DE","business"
"sub_xslhu6l29il9yq","a7637559-2519-4035-84bd-1c0f1157da81","cus_8vfcx7lxxezdux","price_starter_monthly","starter",20240218,"2024-02","TaskFlow Starter","month","9.0000000000000000","9.0000000000000000","active","2024-02-18 03:58:23+01","2024-03-03 21:30:38+01","2024-02-18 14:23:05+01","2025-06-30 12:35:32+01","",1,"","",840,"organic_search","Organic","","KE","starter"
"sub_2i397i6yxv2meo","c9cd8e3d-cc0e-4884-a7e9-7cf40c963940","cus_dysal8m1g9fk2s","price_business_monthly","business",20241209,"2024-12","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","active","2024-12-09 07:57:11+01","2024-12-23 15:00:10+01","2024-12-09 17:09:36+01","2025-06-30 16:40:56+01","",1,"","",545,"organic_search","Organic","","IN","business"
"sub_jt70ebpy9e576m","ff0024b9-dfbf-453e-93fb-745d2af41459","cus_vfgyw6zbnz8v12","price_business_annual","business",20250328,"2025-03","TaskFlow Business","year","790.0000000000000000","65.8333333333333333","active","2025-03-28 04:21:57+01","2025-04-11 11:37:38+01","2025-03-28 13:44:35+01","2025-06-30 08:45:18+01","",1,"","",436,"organic_search","Organic","","US","business"
"sub_9b0mqoq4kreg16","19f7e7fc-0633-4f1b-8f70-da67a5069047","cus_9qkns832ejx5td","price_business_monthly","business",20240607,"2024-06","TaskFlow Business","month","79.0000000000000000","79.0000000000000000","canceled","2024-06-07 15:24:20+01","2024-06-21 15:11:32+01","2024-06-07 17:05:09+01","2025-04-03 01:37:37+01","2025-04-03 12:43:41+01","",1,"",299,"product_hunt","Organic","","CA","business"
