response_id,submitted_at,hidden.user_id,hidden.plan,hidden.country,question.nps_score,question.reason,question.feature_request
35474c3b-435,2025-06-01T13:18:30Z,fe20706e-e165-43db-9acd-efa53596b67f,starter,NG,8,Good but missing a few features,More integrations
f881637e-35c,2024-06-01T03:40:58Z,51a0218e-e776-4656-ae1c-957978bd42c3,pro,GB,9,Great value,Mobile app improvements
1d1c3911-768,2024-09-01T06:28:40Z,51a0218e-e776-4656-ae1c-957978bd42c3,pro,GB,8,Works well enough,Better reporting
def0696e-758,2024-12-01T07:00:30Z,51a0218e-e776-4656-ae1c-957978bd42c3,pro,GB,7,Works well enough,Mobile app improvements
6f20d2eb-18d,2025-03-01T16:06:00Z,51a0218e-e776-4656-ae1c-957978bd42c3,pro,GB,9,Best tool for my team,
7c366770-05b,2025-06-01T21:37:00Z,51a0218e-e776-4656-ae1c-957978bd42c3,pro,GB,8,Good but missing a few features,Better reporting
252f4be3-dea,2024-03-01T00:23:08Z,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,starter,GB,9,Saves me hours every week,Better reporting
b9f61794-e63,2024-06-01T19:48:37Z,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,starter,GB,8,Some bugs occasionally,API docs
840ca071-8fc,2024-09-01T21:28:00Z,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,starter,GB,10,Love the kanban board,API docs
91efb982-be6,2024-12-01T08:29:06Z,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,starter,GB,8,Works well enough,API docs
2105df10-eda,2025-03-01T13:47:36Z,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,starter,GB,7,Good but missing a few features,
b92d5d10-e9c,2025-06-01T00:05:03Z,d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,starter,GB,8,Decent price,
def82b01-80e,2025-03-01T18:41:58Z,4925651f-d88f-4d67-9bcd-8eeed2ff23a6,pro,ZA,10,"Clean UI, nothing bloated",Mobile app improvements
8449f3b1-bf4,2025-06-01T18:15:05Z,4925651f-d88f-4d67-9bcd-8eeed2ff23a6,pro,ZA,9,Best tool for my team,Bulk actions
8af82a1b-5ab,2024-09-01T21:11:39Z,d3b1c1ac-e9e8-4efa-8964-46379c40be7b,starter,GB,10,"Clean UI, nothing bloated",Mobile app improvements
cf0856a0-a17,2024-12-01T03:51:13Z,d3b1c1ac-e9e8-4efa-8964-46379c40be7b,starter,GB,8,Works well enough,
bd28ace6-1ea,2025-03-01T17:25:54Z,d3b1c1ac-e9e8-4efa-8964-46379c40be7b,starter,GB,10,Saves me hours every week,Better reporting
c04b11ad-f81,2025-06-01T15:27:31Z,d3b1c1ac-e9e8-4efa-8964-46379c40be7b,starter,GB,10,Best tool for my team,Bulk actions
8d79fc99-518,2024-03-01T10:51:09Z,f2eef9ce-5015-450e-95e0-939b51469d89,starter,ZA,9,Love the kanban board,API docs
a113ef7f-1ce,2024-06-01T01:41:54Z,f2eef9ce-5015-450e-95e0-939b51469d89,starter,ZA,10,Love the kanban board,Bulk actions
3c29a6b5-bc5,2024-09-01T04:29:15Z,f2eef9ce-5015-450e-95e0-939b51469d89,starter,ZA,7,Decent price,Mobile app improvements
1571e8a2-557,2024-12-01T09:03:17Z,f2eef9ce-5015-450e-95e0-939b51469d89,starter,ZA,10,"Clean UI, nothing bloated",
b2d68f58-aae,2025-03-01T01:24:58Z,f2eef9ce-5015-450e-95e0-939b51469d89,starter,ZA,9,Best tool for my team,Bulk actions
6bb1eac7-d3b,2025-06-01T19:54:56Z,f2eef9ce-5015-450e-95e0-939b51469d89,starter,ZA,8,Decent price,More integrations
de1c2bfa-e8c,2024-09-01T17:24:41Z,675de9e0-437d-4aad-adaf-20656782b5fa,starter,DE,9,Love the kanban board,More integrations
a396aef0-210,2024-12-01T11:52:49Z,675de9e0-437d-4aad-adaf-20656782b5fa,starter,DE,4,Missing integrations I need,Better reporting
e852b8c2-beb,2025-03-01T11:20:01Z,675de9e0-437d-4aad-adaf-20656782b5fa,starter,DE,10,Best tool for my team,Mobile app improvements
7e950da5-b9b,2025-06-01T03:14:42Z,675de9e0-437d-4aad-adaf-20656782b5fa,starter,DE,9,Best tool for my team,Mobile app improvements
0cb83422-b69,2024-09-01T09:53:11Z,d7c6d246-8c74-4c20-9f60-57101e4049c4,starter,KE,8,Good but missing a few features,Mobile app improvements
cda38e41-f64,2024-12-01T21:59:11Z,d7c6d246-8c74-4c20-9f60-57101e4049c4,starter,KE,10,Best tool for my team,
05c77033-deb,2025-03-01T14:32:11Z,d7c6d246-8c74-4c20-9f60-57101e4049c4,starter,KE,9,Best tool for my team,More integrations
a2525fdf-189,2025-06-01T05:44:32Z,d7c6d246-8c74-4c20-9f60-57101e4049c4,starter,KE,10,Great value,More integrations
8788de9e-368,2024-03-01T20:13:06Z,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,business,GB,4,Support was slow,Bulk actions
0e0d83e5-840,2024-06-01T01:48:41Z,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,business,GB,8,Good but missing a few features,Better reporting
66e54eb5-d99,2024-09-01T22:56:59Z,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,business,GB,8,Works well enough,More integrations
263936c7-eed,2024-12-01T08:23:56Z,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,business,GB,2,Confusing onboarding,More integrations
1635045a-d21,2025-03-01T13:26:56Z,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,business,GB,9,Super easy to use,API docs
971214ab-7ab,2025-06-01T01:45:13Z,84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,business,GB,10,Super easy to use,Better reporting
62e6abc7-6b3,2024-06-01T21:36:39Z,0ccf9328-3727-4a4d-88b8-756a6b7ee337,pro,KE,9,Super easy to use,
4b25f2e6-b13,2024-09-01T02:28:18Z,0ccf9328-3727-4a4d-88b8-756a6b7ee337,pro,KE,9,Saves me hours every week,API docs
0e42a234-815,2024-12-01T15:01:08Z,0ccf9328-3727-4a4d-88b8-756a6b7ee337,pro,KE,10,Great value,Mobile app improvements
3d30b6a8-9c3,2025-03-01T09:38:02Z,0ccf9328-3727-4a4d-88b8-756a6b7ee337,pro,KE,10,Saves me hours every week,
8dc89052-fb9,2025-06-01T14:04:29Z,0ccf9328-3727-4a4d-88b8-756a6b7ee337,pro,KE,9,Super easy to use,
b8ff6fbf-661,2024-12-01T12:26:33Z,f517dcd8-dc32-4d31-ab6e-2de001976345,pro,DE,9,Love the kanban board,Bulk actions
ce85a511-cd5,2025-03-01T11:31:44Z,f517dcd8-dc32-4d31-ab6e-2de001976345,pro,DE,6,Support was slow,
e33808f2-4fe,2025-06-01T17:46:00Z,f517dcd8-dc32-4d31-ab6e-2de001976345,pro,DE,9,Saves me hours every week,Bulk actions
d815a97f-138,2025-03-01T06:00:44Z,f7c2ef0b-9b95-49e9-9526-ec64516d67c3,business,US,1,Keeps crashing on mobile,Better reporting
612ec812-17a,2025-06-01T17:22:18Z,f7c2ef0b-9b95-49e9-9526-ec64516d67c3,business,US,6,Too expensive for what it offers,Better reporting
5ee5ec87-4c9,2024-09-01T22:04:00Z,7550d8ad-6dea-419d-a035-50bd7bde9134,business,CA,8,Some bugs occasionally,Bulk actions
f98968ca-bb3,2024-12-01T07:16:31Z,7550d8ad-6dea-419d-a035-50bd7bde9134,business,CA,5,Too expensive for what it offers,API docs
b842aa84-2ee,2025-03-01T11:40:32Z,7550d8ad-6dea-419d-a035-50bd7bde9134,business,CA,7,Decent price,More integrations
3495f736-964,2025-06-01T03:48:17Z,7550d8ad-6dea-419d-a035-50bd7bde9134,business,CA,10,Super easy to use,More integrations
9991f119-63b,2025-03-01T01:53:26Z,cd5dec38-72d1-4ebd-b151-ed91e18ee775,business,DE,5,Support was slow,More integrations
742e2777-5c0,2025-06-01T22:30:32Z,cd5dec38-72d1-4ebd-b151-ed91e18ee775,business,DE,9,Best tool for my team,More integrations
cfa9ae47-97c,2024-06-01T18:15:53Z,6090b33b-8099-4f51-baaa-3a4e1a7e731f,pro,GB,3,Confusing onboarding,API docs
a90bacd4-a29,2024-09-01T07:44:02Z,6090b33b-8099-4f51-baaa-3a4e1a7e731f,pro,GB,8,Decent price,API docs
5c217199-4ba,2024-12-01T14:56:51Z,6090b33b-8099-4f51-baaa-3a4e1a7e731f,pro,GB,8,Decent price,Bulk actions
1c58795e-587,2025-03-01T16:42:40Z,6090b33b-8099-4f51-baaa-3a4e1a7e731f,pro,GB,6,Keeps crashing on mobile,Bulk actions
23baf3e1-ad4,2025-06-01T21:25:34Z,6090b33b-8099-4f51-baaa-3a4e1a7e731f,pro,GB,10,Love the kanban board,API docs
f0322b74-6f8,2024-12-01T08:33:12Z,3d689740-b935-40de-b47a-3d9271032927,business,GB,8,Works well enough,API docs
07929216-520,2025-03-01T04:49:37Z,3d689740-b935-40de-b47a-3d9271032927,business,GB,8,Good but missing a few features,More integrations
3d9565f2-d23,2025-06-01T16:26:16Z,3d689740-b935-40de-b47a-3d9271032927,business,GB,10,Saves me hours every week,
567252d1-cb9,2024-09-01T09:09:40Z,34503f46-0ad3-4582-abb9-7da1c2e2a772,pro,KE,0,Too expensive for what it offers,Bulk actions
de36f0bd-144,2024-12-01T15:26:12Z,34503f46-0ad3-4582-abb9-7da1c2e2a772,pro,KE,5,Keeps crashing on mobile,Better reporting
0f537091-b89,2025-03-01T20:19:33Z,34503f46-0ad3-4582-abb9-7da1c2e2a772,pro,KE,10,Super easy to use,More integrations
536e90c1-37e,2025-06-01T11:50:50Z,34503f46-0ad3-4582-abb9-7da1c2e2a772,pro,KE,9,Best tool for my team,Mobile app improvements
675a236d-eb1,2024-12-01T22:18:39Z,ba26d547-bb66-4f7d-bf99-ca3409c391ca,business,GH,10,Love the kanban board,More integrations
13efd39a-3d1,2025-03-01T10:59:23Z,ba26d547-bb66-4f7d-bf99-ca3409c391ca,business,GH,9,"Clean UI, nothing bloated",Bulk actions
0adcf611-fc7,2025-06-01T10:29:29Z,ba26d547-bb66-4f7d-bf99-ca3409c391ca,business,GH,9,"Clean UI, nothing bloated",More integrations
d9a6204e-a52,2025-06-01T08:23:12Z,c1786355-8e91-43be-98db-17415633357a,starter,CA,7,Decent price,Mobile app improvements
bd80a9de-1d0,2024-09-01T03:33:59Z,91069940-7a53-43f1-9fd7-ce6d52d525fb,business,US,9,"Clean UI, nothing bloated",Better reporting
55750a00-f6b,2024-12-01T06:20:06Z,91069940-7a53-43f1-9fd7-ce6d52d525fb,business,US,7,Good but missing a few features,API docs
6e0cfe2a-b39,2025-03-01T22:37:13Z,91069940-7a53-43f1-9fd7-ce6d52d525fb,business,US,10,Love the kanban board,Bulk actions
0966ca48-789,2025-06-01T08:26:48Z,91069940-7a53-43f1-9fd7-ce6d52d525fb,business,US,5,Support was slow,Bulk actions
2bbde1ab-4b2,2024-03-01T03:54:33Z,6a1c083f-92f7-4340-b503-7d8cec8cc750,pro,NG,9,Love the kanban board,Better reporting
7730d17c-d58,2024-06-01T10:39:07Z,6a1c083f-92f7-4340-b503-7d8cec8cc750,pro,NG,8,Works well enough,Mobile app improvements
3dcba738-911,2024-09-01T17:40:21Z,6a1c083f-92f7-4340-b503-7d8cec8cc750,pro,NG,8,Some bugs occasionally,More integrations
e7b0d376-f6d,2024-12-01T07:45:51Z,6a1c083f-92f7-4340-b503-7d8cec8cc750,pro,NG,7,Some bugs occasionally,API docs
1d3607c8-9b2,2025-03-01T12:14:48Z,6a1c083f-92f7-4340-b503-7d8cec8cc750,pro,NG,10,Best tool for my team,Bulk actions
6c3d4c35-fb9,2025-06-01T09:07:41Z,6a1c083f-92f7-4340-b503-7d8cec8cc750,pro,NG,9,Love the kanban board,Better reporting
ce68aaf0-698,2025-03-01T18:16:28Z,159ac321-0ec2-4047-a620-6899ec87b231,starter,US,10,Great value,Mobile app improvements
83d713ce-e4c,2025-06-01T15:13:20Z,159ac321-0ec2-4047-a620-6899ec87b231,starter,US,7,Good but missing a few features,Mobile app improvements
0b48341c-9d1,2024-06-01T19:06:49Z,da859367-c27c-4a3a-8d3f-d20771fe9d6f,starter,NG,9,Super easy to use,Mobile app improvements
07473c7b-7af,2024-09-01T13:08:10Z,da859367-c27c-4a3a-8d3f-d20771fe9d6f,starter,NG,10,Super easy to use,Bulk actions
52a5f2f4-863,2024-12-01T02:52:25Z,da859367-c27c-4a3a-8d3f-d20771fe9d6f,starter,NG,8,Decent price,API docs
797f3609-5e5,2025-03-01T05:42:26Z,da859367-c27c-4a3a-8d3f-d20771fe9d6f,starter,NG,10,Love the kanban board,Mobile app improvements
1464deb2-397,2025-06-01T03:46:08Z,da859367-c27c-4a3a-8d3f-d20771fe9d6f,starter,NG,10,"Clean UI, nothing bloated",More integrations
83c9442f-0a3,2024-12-01T12:02:41Z,275d38d5-e2ef-4f47-b3fd-5ee2508630f0,pro,NG,8,Good but missing a few features,More integrations
5eaa50b1-d08,2025-03-01T23:04:41Z,275d38d5-e2ef-4f47-b3fd-5ee2508630f0,pro,NG,10,Best tool for my team,API docs
873060bb-e09,2025-06-01T22:23:49Z,275d38d5-e2ef-4f47-b3fd-5ee2508630f0,pro,NG,10,"Clean UI, nothing bloated",Bulk actions
5d22b9c2-bb4,2024-06-01T10:21:02Z,f82ef9e7-3f07-451b-b1e1-8041d4780ea1,pro,US,6,Confusing onboarding,Bulk actions
107e2ac2-759,2024-09-01T19:14:16Z,f82ef9e7-3f07-451b-b1e1-8041d4780ea1,pro,US,10,"Clean UI, nothing bloated",Better reporting
55303739-7b8,2024-12-01T14:54:14Z,f82ef9e7-3f07-451b-b1e1-8041d4780ea1,pro,US,8,Decent price,More integrations
b5ac3e88-412,2025-03-01T15:22:50Z,f82ef9e7-3f07-451b-b1e1-8041d4780ea1,pro,US,9,Best tool for my team,More integrations
0244dd07-146,2025-06-01T15:12:20Z,f82ef9e7-3f07-451b-b1e1-8041d4780ea1,pro,US,7,Good but missing a few features,More integrations
6b40303a-9fc,2024-09-01T20:05:21Z,3167426b-653b-4fdf-a550-0dd9dc010687,pro,GB,4,Support was slow,Bulk actions
795729a9-da0,2024-12-01T11:52:24Z,3167426b-653b-4fdf-a550-0dd9dc010687,pro,GB,7,Some bugs occasionally,
5f38c4da-9e6,2025-03-01T09:37:39Z,3167426b-653b-4fdf-a550-0dd9dc010687,pro,GB,7,Good but missing a few features,Bulk actions
0264759d-b34,2025-06-01T04:01:50Z,3167426b-653b-4fdf-a550-0dd9dc010687,pro,GB,9,Saves me hours every week,Mobile app improvements
bb87a1d1-f2e,2024-09-01T00:37:54Z,e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba,starter,NG,10,Love the kanban board,API docs
498c8f94-0b6,2024-12-01T15:34:48Z,e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba,starter,NG,9,Great value,
dfab71f9-be6,2025-03-01T01:51:58Z,e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba,starter,NG,5,Too expensive for what it offers,More integrations
167662a9-e1d,2025-06-01T06:48:54Z,e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba,starter,NG,9,Super easy to use,
a4b638ab-3ae,2024-09-01T15:14:31Z,0e8241f7-fd44-4e63-9ba8-69626582981d,pro,GH,10,Best tool for my team,Mobile app improvements
a4bf4538-80d,2024-12-01T04:08:38Z,0e8241f7-fd44-4e63-9ba8-69626582981d,pro,GH,3,Too expensive for what it offers,API docs
b5a0ff08-a3a,2025-03-01T01:25:29Z,0e8241f7-fd44-4e63-9ba8-69626582981d,pro,GH,7,Some bugs occasionally,Bulk actions
d13e03c2-ae8,2025-06-01T19:22:44Z,0e8241f7-fd44-4e63-9ba8-69626582981d,pro,GH,10,Love the kanban board,Mobile app improvements
486a3060-e02,2024-12-01T04:19:34Z,37920d49-f1a8-417d-9969-a3280ee99608,starter,GB,10,Best tool for my team,
e0f65727-e20,2025-03-01T23:45:56Z,37920d49-f1a8-417d-9969-a3280ee99608,starter,GB,10,Super easy to use,Better reporting
867061de-283,2025-06-01T00:05:53Z,37920d49-f1a8-417d-9969-a3280ee99608,starter,GB,9,Best tool for my team,Bulk actions
63ce277d-e08,2024-06-01T00:01:28Z,eb0e58b8-3c15-4c57-90e2-69d220c6172d,business,NG,8,Some bugs occasionally,More integrations
5d5913cd-449,2024-09-01T13:55:33Z,eb0e58b8-3c15-4c57-90e2-69d220c6172d,business,NG,10,Best tool for my team,Bulk actions
0b527613-238,2024-12-01T23:27:49Z,eb0e58b8-3c15-4c57-90e2-69d220c6172d,business,NG,1,Support was slow,API docs
dd285e19-d61,2025-03-01T02:41:16Z,eb0e58b8-3c15-4c57-90e2-69d220c6172d,business,NG,5,Support was slow,Bulk actions
6d737024-f30,2025-06-01T17:39:21Z,eb0e58b8-3c15-4c57-90e2-69d220c6172d,business,NG,10,Best tool for my team,More integrations
92437371-d9a,2024-06-01T04:03:48Z,59df24b5-2ef1-4873-ac81-91d4b02fcf33,starter,BR,10,Great value,Mobile app improvements
f7ed94ba-9ec,2024-09-01T20:20:35Z,59df24b5-2ef1-4873-ac81-91d4b02fcf33,starter,BR,9,"Clean UI, nothing bloated",More integrations
15c7e1fd-9ef,2024-12-01T06:13:00Z,59df24b5-2ef1-4873-ac81-91d4b02fcf33,starter,BR,7,Some bugs occasionally,Bulk actions
1284133c-fb5,2025-03-01T11:31:39Z,59df24b5-2ef1-4873-ac81-91d4b02fcf33,starter,BR,10,Best tool for my team,Better reporting
f12f8aa8-17f,2025-06-01T03:07:11Z,59df24b5-2ef1-4873-ac81-91d4b02fcf33,starter,BR,5,Keeps crashing on mobile,More integrations
a1be7bca-7b4,2025-03-01T12:10:07Z,ecb4f599-6c2c-4226-ab71-3d57208331f1,business,US,10,Saves me hours every week,
79860a0b-880,2025-06-01T10:24:13Z,ecb4f599-6c2c-4226-ab71-3d57208331f1,business,US,9,Great value,More integrations
321804ad-c1b,2024-06-01T09:49:53Z,2b1d5a70-51a7-4c83-8dea-4b513031a91e,pro,IN,10,Saves me hours every week,More integrations
c76da856-408,2024-09-01T02:37:12Z,2b1d5a70-51a7-4c83-8dea-4b513031a91e,pro,IN,6,Keeps crashing on mobile,Better reporting
14d186e1-3f3,2024-12-01T21:10:15Z,2b1d5a70-51a7-4c83-8dea-4b513031a91e,pro,IN,7,Some bugs occasionally,Mobile app improvements
05831a15-e77,2025-03-01T11:02:57Z,2b1d5a70-51a7-4c83-8dea-4b513031a91e,pro,IN,9,Love the kanban board,Mobile app improvements
0fd583c7-b7d,2025-06-01T11:48:20Z,2b1d5a70-51a7-4c83-8dea-4b513031a91e,pro,IN,7,Good but missing a few features,More integrations
d1de5783-c48,2024-12-01T10:23:31Z,a76226a6-f8f2-4c53-9d95-29ae08804603,business,NG,9,Saves me hours every week,More integrations
af123a3a-a81,2025-03-01T04:31:14Z,a76226a6-f8f2-4c53-9d95-29ae08804603,business,NG,10,Saves me hours every week,More integrations
4738f8d3-d0b,2025-06-01T13:39:39Z,a76226a6-f8f2-4c53-9d95-29ae08804603,business,NG,10,Super easy to use,More integrations
49e90bf0-bde,2025-03-01T19:59:10Z,3fb4b418-a6b8-4405-a4f0-8162daa0fbd5,business,GB,10,Super easy to use,Bulk actions
50dc9339-596,2025-06-01T00:39:18Z,3fb4b418-a6b8-4405-a4f0-8162daa0fbd5,business,GB,0,Keeps crashing on mobile,API docs
1bcd27bc-940,2024-12-01T21:08:28Z,3e2188ad-0a1f-4b29-8200-750a158a226e,pro,US,10,Super easy to use,More integrations
78bd93d3-f00,2025-03-01T14:17:02Z,3e2188ad-0a1f-4b29-8200-750a158a226e,pro,US,10,Best tool for my team,More integrations
bf95322c-914,2025-06-01T12:29:48Z,3e2188ad-0a1f-4b29-8200-750a158a226e,pro,US,6,Missing integrations I need,
7d0ebada-eb9,2024-06-01T12:49:02Z,9d1dfc62-9f83-444c-8fff-a3dfbc4b9589,starter,ZA,10,Best tool for my team,Mobile app improvements
d6d9524c-36c,2024-09-01T21:10:52Z,9d1dfc62-9f83-444c-8fff-a3dfbc4b9589,starter,ZA,9,Love the kanban board,
ab070f57-bd9,2024-12-01T09:27:37Z,9d1dfc62-9f83-444c-8fff-a3dfbc4b9589,starter,ZA,8,Works well enough,Mobile app improvements
18a9ea68-dfe,2025-03-01T07:37:36Z,9d1dfc62-9f83-444c-8fff-a3dfbc4b9589,starter,ZA,9,"Clean UI, nothing bloated",
3e107ee2-968,2025-06-01T22:26:51Z,9d1dfc62-9f83-444c-8fff-a3dfbc4b9589,starter,ZA,10,Saves me hours every week,Bulk actions
3166abce-6f6,2024-09-01T17:35:20Z,4f60b48f-01b0-4fcb-aa32-9f002b2a8706,starter,CA,9,Super easy to use,API docs
8df45f83-ae4,2024-12-01T12:34:01Z,4f60b48f-01b0-4fcb-aa32-9f002b2a8706,starter,CA,9,Love the kanban board,More integrations
ff7ed24f-99e,2025-03-01T01:52:12Z,4f60b48f-01b0-4fcb-aa32-9f002b2a8706,starter,CA,7,Decent price,API docs
2a5e119d-278,2025-06-01T09:11:11Z,4f60b48f-01b0-4fcb-aa32-9f002b2a8706,starter,CA,9,Saves me hours every week,Mobile app improvements
b72591e1-976,2024-03-01T00:56:39Z,26781901-6364-4a0f-b687-f5e8f2d9aee6,starter,US,10,Super easy to use,Mobile app improvements
1533f2b2-7cf,2024-06-01T22:28:43Z,26781901-6364-4a0f-b687-f5e8f2d9aee6,starter,US,7,Decent price,API docs
90ad0bc1-e86,2024-09-01T03:42:09Z,26781901-6364-4a0f-b687-f5e8f2d9aee6,starter,US,9,Best tool for my team,API docs
b1bd5488-07d,2024-12-01T12:12:13Z,26781901-6364-4a0f-b687-f5e8f2d9aee6,starter,US,5,Confusing onboarding,Mobile app improvements
8248b055-2f8,2025-03-01T21:39:02Z,26781901-6364-4a0f-b687-f5e8f2d9aee6,starter,US,9,Love the kanban board,Bulk actions
1831725b-63f,2025-06-01T16:30:39Z,26781901-6364-4a0f-b687-f5e8f2d9aee6,starter,US,10,Super easy to use,Mobile app improvements
e850833d-157,2024-06-01T15:19:27Z,d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a,pro,CA,2,Confusing onboarding,Mobile app improvements
60378e20-af8,2024-09-01T05:16:20Z,d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a,pro,CA,9,Great value,Bulk actions
0f0797d2-dfe,2024-12-01T09:50:29Z,d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a,pro,CA,10,Saves me hours every week,API docs
684a74b3-38b,2025-03-01T12:37:29Z,d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a,pro,CA,5,Keeps crashing on mobile,API docs
25c3d185-869,2025-06-01T17:44:37Z,d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a,pro,CA,10,Best tool for my team,Bulk actions
def19e38-920,2024-09-01T14:31:48Z,18578563-0955-478c-bce4-1a726d6fa0f6,pro,NG,7,Works well enough,More integrations
a1b86801-212,2024-12-01T05:18:55Z,18578563-0955-478c-bce4-1a726d6fa0f6,pro,NG,10,Super easy to use,More integrations
2f2bc8a0-307,2025-03-01T00:36:26Z,18578563-0955-478c-bce4-1a726d6fa0f6,pro,NG,8,Good but missing a few features,Mobile app improvements
d16010d7-e9d,2025-06-01T22:53:58Z,18578563-0955-478c-bce4-1a726d6fa0f6,pro,NG,4,Missing integrations I need,Bulk actions
34428a35-a69,2024-09-01T16:09:44Z,a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3,business,US,10,Saves me hours every week,Bulk actions
0e09e551-3c4,2024-12-01T11:13:38Z,a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3,business,US,9,Saves me hours every week,Mobile app improvements
d54b2a6a-3fe,2025-03-01T10:59:23Z,a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3,business,US,1,Too expensive for what it offers,More integrations
1d99f52a-8a2,2025-06-01T01:27:47Z,a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3,business,US,8,Good but missing a few features,
661b4092-e6d,2024-06-01T12:25:35Z,ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae,pro,US,7,Some bugs occasionally,Bulk actions
239d5db3-9b7,2024-09-01T03:11:20Z,ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae,pro,US,8,Decent price,More integrations
d1e28a59-5c4,2024-12-01T16:26:58Z,ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae,pro,US,10,Saves me hours every week,API docs
42e085cf-e78,2025-03-01T15:01:59Z,ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae,pro,US,10,Love the kanban board,Better reporting
671648e2-65e,2025-06-01T21:44:57Z,ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae,pro,US,9,"Clean UI, nothing bloated",Mobile app improvements
aade6f72-9a4,2024-06-01T10:58:04Z,e0ab5aa6-b62f-40b8-a999-2809f58cc285,business,NG,8,Works well enough,Bulk actions
1c355044-9c7,2024-09-01T11:08:29Z,e0ab5aa6-b62f-40b8-a999-2809f58cc285,business,NG,9,"Clean UI, nothing bloated",Better reporting
3112a4d5-9be,2024-12-01T03:46:06Z,e0ab5aa6-b62f-40b8-a999-2809f58cc285,business,NG,10,Love the kanban board,
